base_seed,dataset,elapsed_time,fold,max_depth,model,random_seed,test_acc,train_acc,trial_id,trial_id_agg,val_acc,hyperparameters
42,avila,0.198644,0,2,ShapeCART,150,0.554384,0.553677,108,108_2,0.563009,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":19,""min_samples_split"":2}"
42,avila,0.196072,1,2,ShapeCART,150,0.571874,0.556347,108,108_2,0.526593,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":19,""min_samples_split"":2}"
42,avila,0.186397,2,2,ShapeCART,150,0.545520,0.554567,108,108_2,0.558218,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":19,""min_samples_split"":2}"
42,avila,0.161358,3,2,ShapeCART,150,0.554863,0.557716,108,108_2,0.552947,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":19,""min_samples_split"":2}"
42,avila,0.171534,4,2,ShapeCART,150,0.563967,0.555525,108,108_2,0.550072,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":16,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":19,""min_samples_split"":2}"
42,avila,0.269648,0,2,ShapeCART,151,0.551270,0.552513,109,109_2,0.561092,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":32,""min_samples_split"":8}"
42,avila,0.235195,1,2,ShapeCART,151,0.571874,0.556347,109,109_2,0.526593,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":32,""min_samples_split"":8}"
42,avila,0.215150,2,2,ShapeCART,151,0.547437,0.556689,109,109_2,0.558697,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":32,""min_samples_split"":8}"
42,avila,0.231196,3,2,ShapeCART,151,0.554863,0.557716,109,109_2,0.552947,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":32,""min_samples_split"":8}"
42,avila,0.230918,4,2,ShapeCART,151,0.563967,0.555525,109,109_2,0.550072,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.005,""max_depth"":2,""min_impurity_decrease"":0.0005,""min_samples_leaf"":32,""min_samples_split"":8}"
42,avila,0.173508,0,2,ShapeCART,52,0.551509,0.552855,10,10_2,0.561092,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":9,""min_samples_split"":16}"
42,avila,0.277283,1,2,ShapeCART,52,0.569717,0.555183,10,10_2,0.523718,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":9,""min_samples_split"":16}"
42,avila,0.597209,2,2,ShapeCART,52,0.546478,0.555320,10,10_2,0.555822,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":9,""min_samples_split"":16}"
42,avila,0.179696,3,2,ShapeCART,52,0.553426,0.551554,10,10_2,0.549114,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":9,""min_samples_split"":16}"
42,avila,0.187510,4,2,ShapeCART,52,0.560374,0.551965,10,10_2,0.547197,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":9,""min_samples_split"":16}"
42,avila,0.625296,0,2,ShapeCART,152,0.551030,0.551760,110,110_2,0.560613,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":12,""min_samples_split"":4}"
42,avila,0.284229,1,2,ShapeCART,152,0.569478,0.553197,110,110_2,0.523239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":12,""min_samples_split"":4}"
42,avila,0.277058,2,2,ShapeCART,152,0.546478,0.555388,110,110_2,0.555822,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":12,""min_samples_split"":4}"
42,avila,0.257631,3,2,ShapeCART,152,0.553186,0.551828,110,110_2,0.550072,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":12,""min_samples_split"":4}"
42,avila,0.324300,4,2,ShapeCART,152,0.560613,0.552239,110,110_2,0.546239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0001,""min_samples_leaf"":12,""min_samples_split"":4}"
42,avila,0.227687,0,2,ShapeCART,153,0.551030,0.551760,111,111_2,0.560613,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":20,""min_samples_split"":32}"
42,avila,0.263305,1,2,ShapeCART,153,0.569478,0.553197,111,111_2,0.523239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":20,""min_samples_split"":32}"
42,avila,0.219235,2,2,ShapeCART,153,0.546478,0.555388,111,111_2,0.555822,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":20,""min_samples_split"":32}"
42,avila,0.224216,3,2,ShapeCART,153,0.550791,0.552307,111,111_2,0.548155,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":20,""min_samples_split"":32}"
42,avila,0.210029,4,2,ShapeCART,153,0.560613,0.552239,111,111_2,0.546239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":56,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":20,""min_samples_split"":32}"
42,avila,0.167321,0,2,ShapeCART,154,0.524197,0.530330,112,112_2,0.534739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":60,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":19,""min_samples_split"":8}"
42,avila,0.482646,1,2,ShapeCART,154,0.544082,0.527865,112,112_2,0.512218,"{""criterion"":""gini"",""inner_max_leaf_nodes"":60,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":19,""min_samples_split"":8}"
42,avila,0.189931,2,2,ShapeCART,154,0.519406,0.531905,112,112_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":60,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":19,""min_samples_split"":8}"
42,avila,0.149947,3,2,ShapeCART,154,0.530426,0.532315,112,112_2,0.524677,"{""criterion"":""gini"",""inner_max_leaf_nodes"":60,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":19,""min_samples_split"":8}"
42,avila,0.154067,4,2,ShapeCART,154,0.543364,0.530604,112,112_2,0.519885,"{""criterion"":""gini"",""inner_max_leaf_nodes"":60,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":19,""min_samples_split"":8}"
42,avila,0.471522,0,2,ShapeCART,155,0.524197,0.530330,113,113_2,0.534739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":32,""min_samples_split"":4}"
42,avila,0.142301,1,2,ShapeCART,155,0.544082,0.527865,113,113_2,0.512218,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":32,""min_samples_split"":4}"
42,avila,0.186270,2,2,ShapeCART,155,0.519406,0.531905,113,113_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":32,""min_samples_split"":4}"
42,avila,0.125808,3,2,ShapeCART,155,0.530426,0.532315,113,113_2,0.524677,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":32,""min_samples_split"":4}"
42,avila,0.162456,4,2,ShapeCART,155,0.532583,0.522593,113,113_2,0.511260,"{""criterion"":""gini"",""inner_max_leaf_nodes"":40,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":32,""min_samples_split"":4}"
42,avila,0.278392,0,2,ShapeCART,156,0.551030,0.551760,114,114_2,0.560613,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":48,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":3,""min_samples_split"":2}"
42,avila,0.203565,1,2,ShapeCART,156,0.569478,0.553197,114,114_2,0.523239,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":48,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":3,""min_samples_split"":2}"
42,avila,0.196218,2,2,ShapeCART,156,0.546478,0.555388,114,114_2,0.555822,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":48,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":3,""min_samples_split"":2}"
42,avila,0.210341,3,2,ShapeCART,156,0.553186,0.551828,114,114_2,0.550072,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":48,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":3,""min_samples_split"":2}"
42,avila,0.195638,4,2,ShapeCART,156,0.562290,0.554087,114,114_2,0.549593,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":48,""inner_min_samples_leaf"":1.0,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":3,""min_samples_split"":2}"
42,avila,0.161105,0,2,ShapeCART,157,0.527312,0.531494,115,115_2,0.536655,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":27,""min_samples_split"":4}"
42,avila,0.245370,1,2,ShapeCART,157,0.573311,0.555936,115,115_2,0.529947,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":27,""min_samples_split"":4}"
42,avila,0.171652,2,2,ShapeCART,157,0.519406,0.531905,115,115_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":27,""min_samples_split"":4}"
42,avila,0.137739,3,2,ShapeCART,157,0.530426,0.532315,115,115_2,0.524677,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":27,""min_samples_split"":4}"
42,avila,0.141322,4,2,ShapeCART,157,0.543364,0.530604,115,115_2,0.519885,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":27,""min_samples_split"":4}"
42,avila,0.288376,0,2,ShapeCART,158,0.526833,0.530946,116,116_2,0.536655,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":2,""min_samples_split"":32}"
42,avila,0.157514,1,2,ShapeCART,158,0.571874,0.555388,116,116_2,0.528989,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":2,""min_samples_split"":32}"
42,avila,0.165467,2,2,ShapeCART,158,0.544562,0.553814,116,116_2,0.558697,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":2,""min_samples_split"":32}"
42,avila,0.136426,3,2,ShapeCART,158,0.530426,0.531699,116,116_2,0.524197,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":2,""min_samples_split"":32}"
42,avila,0.493624,4,2,ShapeCART,158,0.563488,0.552923,116,116_2,0.548634,"{""criterion"":""gini"",""inner_max_leaf_nodes"":28,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.005,""min_samples_leaf"":2,""min_samples_split"":32}"
42,avila,0.169493,0,2,ShapeCART,159,0.555343,0.553540,117,117_2,0.562530,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":20,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":14,""min_samples_split"":32}"
42,avila,0.177357,1,2,ShapeCART,159,0.572592,0.556552,117,117_2,0.524197,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":20,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":14,""min_samples_split"":32}"
42,avila,0.175256,2,2,ShapeCART,159,0.547437,0.556757,117,117_2,0.558697,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":20,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":14,""min_samples_split"":32}"
42,avila,0.222073,3,2,ShapeCART,159,0.554624,0.557990,117,117_2,0.553905,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":20,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":14,""min_samples_split"":32}"
42,avila,0.216733,4,2,ShapeCART,159,0.563728,0.555594,117,117_2,0.550551,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":20,""inner_min_samples_leaf"":0.0005,""max_depth"":2,""min_impurity_decrease"":0.001,""min_samples_leaf"":14,""min_samples_split"":32}"
