model,trial_id,fold,dataset,random_seed,base_seed,train_acc,val_acc,test_acc,elapsed_time,file_path,generalization_gap,_agg_trial,hyperparameters,max_depth,actual_depth,n_leaves,failed,model_clean
ShapeFBT,11,2,skin,53,42,0.793452,0.789031,0.790704,240.787439,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_11_2.json,0.0027480000000000837,11,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 500}",,,,,
XGBoost,111,4,skin,153,42,0.935076,0.932017,0.933567,1.902067,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_111_4.json,0.0015089999999999826,111,"{""colsample_bytree"": 0.75, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
ShapeFBT,18,1,skin,60,42,0.562758,0.567167,0.564698,244.560673,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_18_1.json,0.0019400000000000528,18,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,50,4,skin,92,42,0.892596,0.88868,0.889762,489.395502,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_50_4.json,0.002833999999999892,50,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 250, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 100}",,,,,
XGBoost,159,1,skin,201,42,0.932913,0.932629,0.932119,0.987659,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_159_1.json,0.0007939999999999614,159,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
XGBoost,102,0,skin,144,42,0.927696,0.927528,0.925488,0.757445,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_102_0.json,0.0022079999999999878,102,"{""colsample_bytree"": 0.25, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
XGBoost,150,2,skin,192,42,0.933718,0.932792,0.933955,0.665061,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_150_2.json,0.0002369999999999317,150,"{""colsample_bytree"": 0.75, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 250, ""subsample"": 0.63}",,,,,
XGBoost,173,0,skin,215,42,0.927696,0.927528,0.925488,1.300095,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_173_0.json,0.0022079999999999878,173,"{""colsample_bytree"": 0.25, ""gamma"": 5.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",,,,,
XGBoost,121,2,skin,163,42,0.900839,0.899616,0.903085,1.132082,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_121_2.json,0.0022460000000000813,121,"{""colsample_bytree"": 0.25, ""gamma"": 0.5, ""learning_rate"": 0.01, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.5}",,,,,
XGBoost,128,1,skin,170,42,0.93384,0.933935,0.932955,95.207752,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_128_1.json,0.0008850000000000247,128,"{""colsample_bytree"": 1.0, ""gamma"": 5.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.63}",,,,,
ShapeFBT,21,4,skin,63,42,0.792758,0.791316,0.79199,469.614337,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_21_4.json,0.0007679999999999909,21,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 100}",,,,,
ShapeFBT,183,0,skin,225,42,0.889191,0.889211,0.889517,615.514346,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_183_0.json,0.0003260000000000485,183,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
XGBoost,89,1,skin,131,42,0.93384,0.933935,0.932955,3.271034,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_89_1.json,0.0008850000000000247,89,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
ShapeFBT,69,1,skin,111,42,0.914655,0.915368,0.914103,133.475947,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_69_1.json,0.0005519999999999969,69,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 100}",,,,,
XGBoost,160,4,skin,202,42,0.903229,0.899739,0.901269,1.173829,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_160_4.json,0.0019599999999999618,160,"{""colsample_bytree"": 0.5, ""gamma"": 5.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.63}",,,,,
XGBoost,80,2,skin,122,42,0.902139,0.901494,0.904207,1.751761,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_80_2.json,0.0020679999999999588,80,"{""colsample_bytree"": 0.25, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",,,,,
ShapeFBT,190,4,skin,232,42,0.792758,0.791316,0.79199,546.432959,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_190_4.json,0.0007679999999999909,190,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,32,0,skin,74,42,0.89361,0.894108,0.893904,1280.198802,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_32_0.json,0.00029400000000001647,32,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 6, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,60,2,skin,102,42,0.933718,0.932792,0.933955,236.075478,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_60_2.json,0.0002369999999999317,60,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 100}",,,,,
XGBoost,107,3,skin,149,42,0.927206,0.926671,0.92763,0.556507,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_107_3.json,0.00042399999999997995,107,"{""colsample_bytree"": 0.5, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",,,,,
XGBoost,155,1,skin,197,42,0.93384,0.933935,0.932955,0.597921,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_155_1.json,0.0008850000000000247,155,"{""colsample_bytree"": 1.0, ""gamma"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
ShapeFBT,46,3,skin,88,42,0.578317,0.578022,0.579246,195.714032,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_46_3.json,0.0009290000000000687,46,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 5, ""min_samples_split"": 20, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.3, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 250}",,,,,
