model,dataset,n_estimators,max_depth,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,generalization_gap_mean,generalization_gap_std
FBT,raisin,10,5,0.8968252,0.014677145301454189,0.8622223999999999,0.02434327803111159,0.8644444,0.02310733276040313,0.0323808,0.03365950793163798
FBT,raisin,20,3,0.8895240000000001,0.006002325924173089,0.8533332,0.028760631959329392,0.8611112000000001,0.01756834977167749,0.0284128,0.020698825406288153
FBT,raisin,20,4,0.8828569999999999,0.006289303737298744,0.8666668,0.02721658672023371,0.86,0.0173027953955423,0.022857,0.021990001080036355
FBT,raisin,20,5,0.8885714,0.011357562251645397,0.8533334,0.025337482605815417,0.861111,0.023570284968578565,0.027460399999999996,0.028503043649757826
FBT,raisin,40,3,0.8895236000000001,0.004138811520231408,0.8511110000000001,0.025579964190748993,0.861111,0.019245177369928326,0.0284126,0.022011254514452374
FBT,raisin,40,4,0.8930158,0.003822853345343018,0.8622222,0.025579899036157313,0.8577776,0.021372578197306966,0.0352382,0.023108700303132584
FBT,raisin,40,5,0.885397,0.01879481174420215,0.8466668,0.024088581386208664,0.8555556,0.01883983827690672,0.029841399999999997,0.037007785320118794
FBT,raisin,60,3,0.8907936,0.005429164558198616,0.8666666,0.04082489708866394,0.8555556,0.015214637205664799,0.035238000000000005,0.019718562789919552
FBT,raisin,60,4,0.8882538,0.01524989531767347,0.8422221999999999,0.028760535377492513,0.8555554000000001,0.026643346285705197,0.0326984,0.027437770450603305
FBT,raisin,60,5,0.8879366000000001,0.014617136357713844,0.8466668,0.0287606319593294,0.85,0.015214545918298034,0.0379366,0.02939422125690694
FBT,raisin,80,3,0.894603,0.01345001009293303,0.8466666,0.02652763060094135,0.8588889999999999,0.019084162203251168,0.035714,0.025668533791395255
FBT,raisin,80,4,0.8933334,0.013992138767893934,0.8577778,0.025337460679791885,0.8522221999999999,0.018257616375091285,0.0411112,0.015229354441341235
FBT,raisin,80,5,0.8990476,0.01636528659388524,0.8444444000000001,0.01756850788484895,0.8555558,0.018839838274252715,0.043491800000000004,0.028732859694085445
FBT,raisin,100,3,0.8939682,0.01515839624432613,0.8511110000000001,0.03478339500393829,0.8544444,0.032010871033135005,0.0395238,0.04105690153555185
FBT,raisin,100,4,0.8961904,0.009629130869398308,0.8622222,0.018592737203004864,0.8533332,0.016942391498840997,0.0428572,0.01611949543875366
FBT,raisin,100,5,0.8936508,0.015592906246110746,0.8577778,0.030832260243128448,0.8477776,0.015516078879665426,0.045873199999999996,0.023640060769803448
ShapeFBT,bidding,10,3,0.973011,0.0070865245007690906,0.9737342,0.00648538053625229,0.9713834,0.008184634066346494,0.0016275999999999999,0.006426391779217946
ShapeFBT,bidding,10,4,0.9761754,0.007339276313097947,0.9772152000000001,0.00577058729246859,0.9742293999999999,0.008724574132873206,0.0019459999999999998,0.005632311426048812
ShapeFBT,bidding,10,5,0.9777125999999999,0.00811306639317098,0.9781644,0.006842277420566935,0.9759684,0.009380054200269834,0.0017442,0.005669613099674439
ShapeFBT,bidding,20,3,0.9734176,0.007143934266214962,0.9746836,0.006329125002715629,0.9710672,0.008706340976552639,0.0023504,0.0065446819097646
ShapeFBT,bidding,20,4,0.9759944,0.007853814888320241,0.9762660000000001,0.0071640243927557495,0.973597,0.00981950609755906,0.0023974,0.005671281848048112
ShapeFBT,bidding,20,5,0.9797922,0.010594426067513056,0.9800634,0.009467384924043141,0.9764428,0.012479217591660093,0.0033493999999999998,0.003964415442407619
ShapeFBT,bidding,40,3,0.9737794000000001,0.007089032324654739,0.9753164,0.006768657274526463,0.972016,0.008813353618231788,0.0017633999999999996,0.006388814702274593
ShapeFBT,bidding,40,4,0.9796564,0.010676948524742491,0.9800634,0.009467384924043141,0.9762843999999999,0.012118298614079407,0.003372,0.003971569777808266
