model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,bidding,0,3,100,4,0.981917,0.96519,0.977866,0.004051,9.804389,fbt_capability_bidding_n100_d4_trial_0_fold_3.json
FBT,bidding,0,3,20,4,0.981691,0.976266,0.978656,0.003035,2.107867,fbt_capability_bidding_n20_d4_trial_0_fold_3.json
FBT,bidding,0,3,20,5,0.983273,0.976266,0.980237,0.003036,2.865333,fbt_capability_bidding_n20_d5_trial_0_fold_3.json
FBT,bidding,0,3,100,5,0.982595,0.968354,0.980237,0.002358,10.40617,fbt_capability_bidding_n100_d5_trial_0_fold_3.json
FBT,bidding,0,3,60,3,0.982595,0.977848,0.980237,0.002358,4.127882,fbt_capability_bidding_n60_d3_trial_0_fold_3.json
FBT,bidding,0,3,40,4,0.981465,0.976266,0.977866,0.003599,4.001157,fbt_capability_bidding_n40_d4_trial_0_fold_3.json
FBT,bidding,0,3,40,5,0.981239,0.968354,0.973913,0.007326,4.963642,fbt_capability_bidding_n40_d5_trial_0_fold_3.json
FBT,bidding,0,3,40,3,0.973553,0.968354,0.973913,-0.00036,2.855565,fbt_capability_bidding_n40_d3_trial_0_fold_3.json
FBT,bidding,0,3,80,3,0.982369,0.973101,0.980237,0.002132,5.867632,fbt_capability_bidding_n80_d3_trial_0_fold_3.json
FBT,bidding,0,3,80,5,0.982595,0.968354,0.980237,0.002358,9.32621,fbt_capability_bidding_n80_d5_trial_0_fold_3.json
FBT,bidding,0,3,80,4,0.981917,0.968354,0.977075,0.004842,9.361624,fbt_capability_bidding_n80_d4_trial_0_fold_3.json
FBT,bidding,0,4,100,5,0.984177,0.987342,0.978656,0.005521,10.591743,fbt_capability_bidding_n100_d5_trial_0_fold_4.json
FBT,bidding,0,4,20,5,0.978752,0.982595,0.975494,0.003258,2.194302,fbt_capability_bidding_n20_d5_trial_0_fold_4.json
FBT,bidding,0,4,20,4,0.97604,0.97943,0.972332,0.003708,1.881236,fbt_capability_bidding_n20_d4_trial_0_fold_4.json
FBT,bidding,0,4,100,4,0.983047,0.985759,0.976285,0.006762,8.864381,fbt_capability_bidding_n100_d4_trial_0_fold_4.json
FBT,bidding,0,4,60,3,0.980335,0.982595,0.976285,0.00405,4.047992,fbt_capability_bidding_n60_d3_trial_0_fold_4.json
FBT,bidding,0,4,60,4,0.980561,0.984177,0.977075,0.003486,5.089323,fbt_capability_bidding_n60_d4_trial_0_fold_4.json
FBT,bidding,0,4,60,5,0.982369,0.985759,0.973123,0.009246,5.930375,fbt_capability_bidding_n60_d5_trial_0_fold_4.json
FBT,bidding,0,4,20,3,0.974458,0.97943,0.970751,0.003707,1.38236,fbt_capability_bidding_n20_d3_trial_0_fold_4.json
FBT,bidding,0,4,100,3,0.980561,0.984177,0.976285,0.004276,6.748055,fbt_capability_bidding_n100_d3_trial_0_fold_4.json
FBT,bidding,0,4,10,3,0.973327,0.977848,0.968379,0.004948,0.908196,fbt_capability_bidding_n10_d3_trial_0_fold_4.json
FBT,bidding,0,4,10,5,0.980787,0.985759,0.978656,0.002131,1.254236,fbt_capability_bidding_n10_d5_trial_0_fold_4.json
FBT,bidding,0,4,10,4,0.978978,0.982595,0.975494,0.003484,1.154586,fbt_capability_bidding_n10_d4_trial_0_fold_4.json
FBT,bidding,0,4,80,4,0.980561,0.984177,0.976285,0.004276,7.563539,fbt_capability_bidding_n80_d4_trial_0_fold_4.json
FBT,bidding,0,4,80,5,0.983047,0.987342,0.976285,0.006762,10.852302,fbt_capability_bidding_n80_d5_trial_0_fold_4.json
FBT,bidding,0,4,80,3,0.980561,0.984177,0.977075,0.003486,5.407777,fbt_capability_bidding_n80_d3_trial_0_fold_4.json
FBT,bidding,0,4,40,3,0.974458,0.97943,0.970751,0.003707,2.453919,fbt_capability_bidding_n40_d3_trial_0_fold_4.json
FBT,bidding,0,4,40,5,0.979656,0.982595,0.977075,0.002581,4.363351,fbt_capability_bidding_n40_d5_trial_0_fold_4.json
FBT,bidding,0,4,40,4,0.97717,0.981013,0.973123,0.004047,3.337831,fbt_capability_bidding_n40_d4_trial_0_fold_4.json
FBT,magic,0,0,10,3,0.793976,0.789828,0.78438,0.009596,2.279099,fbt_capability_magic_n10_d3_trial_0_fold_0.json
FBT,magic,0,0,10,5,0.791093,0.793568,0.779148,0.011945,7.761008,fbt_capability_magic_n10_d5_trial_0_fold_0.json
FBT,magic,0,0,10,4,0.796112,0.782349,0.784753,0.011359,4.223665,fbt_capability_magic_n10_d4_trial_0_fold_0.json
FBT,magic,0,0,60,3,0.811385,0.797307,0.799327,0.012058,23.278795,fbt_capability_magic_n60_d3_trial_0_fold_0.json
FBT,magic,0,0,20,5,0.809997,0.795812,0.794469,0.015528,25.162323,fbt_capability_magic_n20_d5_trial_0_fold_0.json
