dataset,fold,trial_id,base_seed,random_state,n_estimators,max_depth,n_features,n_train_samples,fit_time_sec,train_acc,val_acc,test_acc,n_trees,total_leaves,mean_leaves_per_tree,std_leaves_per_tree,max_leaves_single_tree,mean_max_depth_per_tree,max_depth_any_tree,n_distinct_split_features,split_feature_entropy_bits
magic,3,0,42,42,100,3,10,9363,0.09384688800000163,0.866175371141728,0.8451757666417352,0.8550074738415545,100,793,7.93,0.25514701644346144,8,3.0,3,10,3.000715609257429
magic,3,0,42,42,100,4,10,9363,0.19976614900000556,0.8824094841396988,0.8459237097980553,0.859118086696562,100,1505,15.05,1.6515144564913744,16,4.0,4,10,3.1436511907369242
magic,3,0,42,42,100,5,10,9363,0.19748999400000145,0.9049449962618819,0.8511593118922962,0.8579970104633782,100,2641,26.41,5.637543791404196,32,5.0,5,10,3.2234490936975244
magic,4,0,42,42,10,3,10,9363,0.03814703300000133,0.8031613798996048,0.7950635751682872,0.8004484304932735,10,80,8.0,0.0,8,3.0,3,7,2.499501352037119
magic,4,0,42,42,10,4,10,9363,0.029333358999998893,0.8174730321478159,0.8055347793567689,0.8183856502242153,10,160,16.0,0.0,16,4.0,4,8,2.6787463474723654
magic,4,0,42,42,10,5,10,9363,0.031390504999997404,0.8370180497703728,0.8107703814510098,0.8303437967115097,10,306,30.6,1.0198039027185568,32,5.0,5,9,2.7444638143599054
magic,4,0,42,42,20,3,10,9363,0.0375591629999974,0.8151233578981096,0.8130142109199701,0.8157698056801196,20,160,8.0,0.0,8,3.0,3,8,2.594477290369371
magic,4,0,42,42,20,4,10,9363,0.03867378300000013,0.836911246395386,0.818249813014211,0.8303437967115097,20,317,15.85,0.653834841531101,16,4.0,4,10,2.789771568706098
magic,4,0,42,42,20,5,10,9363,0.0428935079999988,0.8549610167681299,0.8242333582647718,0.8370702541106129,20,611,30.55,1.243985530462473,32,5.0,5,10,2.893570326455224
magic,4,0,42,42,40,3,10,9363,0.08177828000000176,0.8387269037701591,0.8309648466716529,0.8385650224215246,40,317,7.925,0.26339134382131846,8,3.0,3,10,2.7684197264295607
magic,4,0,42,42,40,4,10,9363,0.062405820000002166,0.8581651180177293,0.8369483919222139,0.8464125560538116,40,626,15.65,0.9367496997597597,16,4.0,4,10,2.9643306389602175
magic,4,0,42,42,40,5,10,9363,0.0868037560000019,0.8760012816404998,0.8354525056095736,0.8587443946188341,40,1178,29.45,2.312466215969436,32,5.0,5,10,3.064705949388531
magic,4,0,42,42,60,3,10,9363,0.07082227400000107,0.8510092918936238,0.8384442782348541,0.8486547085201793,60,477,7.95,0.21794494717703364,8,3.0,3,10,2.868452881113547
magic,4,0,42,42,60,4,10,9363,0.11846708900000635,0.8711951297661006,0.8391922213911742,0.8550074738415545,60,928,15.466666666666667,1.1469767022723503,16,4.0,4,10,3.048999569216326
magic,4,0,42,42,60,5,10,9363,0.17709506500000316,0.8871088326391114,0.8459237097980553,0.8587443946188341,60,1668,27.8,4.296510211788167,32,5.0,5,10,3.133019269353463
magic,4,0,42,42,80,3,10,9363,0.14485033400000447,0.8592331517675958,0.8399401645474944,0.8531390134529148,80,637,7.9625,0.1899835519196333,8,3.0,3,10,2.968722421406203
magic,4,0,42,42,80,4,10,9363,0.13810066399999954,0.8785645626401795,0.8429319371727748,0.8628550074738416,80,1215,15.1875,1.589762167747113,16,4.0,4,10,3.096734670099307
magic,4,0,42,42,80,5,10,9363,0.26867947000000214,0.8981095802627364,0.8466716529543755,0.8636023916292974,80,2157,26.9625,4.897559979214139,32,5.0,5,10,3.1663758675255016
magic,4,0,42,42,100,3,10,9363,0.08340551400000606,0.8650005340168749,0.8354525056095736,0.8557548579970105,100,792,7.92,0.3059411708155671,8,3.0,3,10,3.018782610104359
magic,4,0,42,42,100,4,10,9363,0.12206269800000058,0.8863612090142049,0.8489154824233358,0.8636023916292974,100,1501,15.01,1.7233397807745285,16,4.0,4,10,3.1394192455651586
magic,4,0,42,42,100,5,10,9363,0.1814336850000018,0.9049449962618819,0.8466716529543755,0.8643497757847534,100,2619,26.19,5.271992033377895,32,5.0,5,10,3.1947619611745255
raisin,0,0,42,42,10,3,7,630,0.007188408999994067,0.9,0.8333333333333334,0.8444444444444444,10,78,7.8,0.39999999999999997,8,3.0,3,7,2.4366560884181254
raisin,0,0,42,42,10,4,7,630,0.011833906000006778,0.926984126984127,0.8555555555555555,0.8388888888888889,10,145,14.5,1.02469507659596,16,4.0,4,7,2.512749241265274
raisin,0,0,42,42,10,5,7,630,0.01476187200000112,0.9333333333333333,0.8666666666666667,0.8444444444444444,10,223,22.3,2.1470910553583886,26,5.0,5,7,2.5859219865827434
raisin,0,0,42,42,20,3,7,630,0.02474466299999989,0.9031746031746032,0.8666666666666667,0.8388888888888889,20,157,7.85,0.3570714214271425,8,3.0,3,7,2.5665901329797447
raisin,0,0,42,42,20,4,7,630,0.022781455000000506,0.9317460317460318,0.8555555555555555,0.8444444444444444,20,289,14.45,1.2031209415515967,16,4.0,4,7,2.6165852298841297
raisin,0,0,42,42,20,5,7,630,0.054017790999999704,0.9365079365079365,0.8666666666666667,0.8444444444444444,20,449,22.45,2.108909670896314,26,5.0,5,7,2.635596008251764
raisin,0,0,42,42,40,3,7,630,0.026289007999999114,0.9158730158730158,0.8666666666666667,0.8444444444444444,40,313,7.825,0.3799671038392666,8,3.0,3,7,2.6987649540854997
raisin,0,0,42,42,40,4,7,630,0.04082131599999883,0.9412698412698413,0.8777777777777778,0.8444444444444444,40,540,13.5,1.6583123951777,16,4.0,4,7,2.6795749715647452
raisin,0,0,42,42,40,5,7,630,0.04589110900000293,0.9571428571428572,0.8777777777777778,0.85,40,771,19.275,4.38170914141959,26,5.0,5,7,2.7025704964059507
raisin,0,0,42,42,60,3,7,630,0.06240773400000421,0.9222222222222223,0.8666666666666667,0.8444444444444444,60,424,7.066666666666666,1.302134998974974,8,3.0,3,7,2.7164462075812574
raisin,0,0,42,42,60,4,7,630,0.07084160200000156,0.953968253968254,0.8777777777777778,0.8333333333333334,60,711,11.85,3.0866648668101306,16,4.0,4,7,2.675186274424219
raisin,0,0,42,42,60,5,7,630,0.05431655499999977,0.9682539682539683,0.8555555555555555,0.8444444444444444,60,1005,16.75,5.57262655008091,26,5.0,5,7,2.7064095346692127
raisin,0,0,42,42,80,3,7,630,0.0761076160000016,0.9380952380952381,0.8777777777777778,0.85,80,553,6.9125,1.3619264848001158,8,3.0,3,7,2.7054604358036123
raisin,0,0,42,42,80,4,7,630,0.092816329999998,0.9682539682539683,0.8777777777777778,0.8388888888888889,80,875,10.9375,3.2990292132686547,16,4.0,4,7,2.686668109621037
raisin,0,0,42,42,80,5,7,630,0.09685895399999822,0.9809523809523809,0.8555555555555555,0.8388888888888889,80,1202,15.025,5.907569297096734,26,5.0,5,7,2.708885510068623
raisin,0,0,42,42,100,3,7,630,0.06452736699999662,0.9492063492063492,0.8777777777777778,0.85,100,678,6.78,1.389820132247335,8,3.0,3,7,2.6872805778554985
raisin,0,0,42,42,100,4,7,630,0.07408322900000286,0.9761904761904762,0.8666666666666667,0.8388888888888889,100,1046,10.46,3.2601226970775197,16,4.0,4,7,2.6912857810731556
